No Decimal Found,
60.50902,18.01084
59.86398,17.10103
59.95548,16.05443
56.78323,14.06969
59.93976,14.89727
56.95834,13.92194
65.30614,19.06239
57.85518,12.92441
59.67004,14.62219
64.9603,16.99014
62.2477,17.49229
60.54413,17.44678
56.77971,15.47152
62.77372,12.76493
63.97207,18.05549
60.23531,17.22299
59.86049,15.96843
59.88869,14.8192
57.83428,16.09339
56.5866,15.09972
59.85315,16.81633
64.01017,19.35421
62.58265,12.59586
63.98115,19.75734
65.58403,18.10639
60.30585,15.51064
59.71686,13.41952
56.43277,14.57285
63.80756,18.30361
59.54505,15.83318
56.96593,15.46443
65.48101,21.48386
64.66442,17.59304
58.29395,13.88814
62.82672,12.7249
64.70338,17.20684
63.70764,20.15952
63.80626,21.00227
56.78323,14.06969
60.82709,16.69665
64.86393,20.98638
58.38826,12.44218
59.0512,14.62731
56.83974,15.74527
57.53404,14.21741
59.63499,15.64766
56.78323,14.06969
58.9541,15.09625
62.29233,17.49146
61.76355,14.75474
63.59447,19.33071
57.05367,15.83961
57.19805,16.21383
57.53404,14.21741
57.4866,15.26667
65.43716,16.72141
58.49996,16.60891
57.00545,13.55151
65.69365,21.63978
59.63379,14.88978
58.23194,12.00635
59.64171,13.94336
63.80814,20.13438
62.43166,17.47312
60.45704,15.27206
65.01347,17.08129
64.6919,16.71771
63.85268,16.0165
60.96796,12.49811
64.52279,17.29879
60.02264,13.90286
58.93729,15.60302
62.5958,17.80829
59.35115,14.85768
59.44986,12.45126
60.17025,17.70124
59.00006,15.21362
57.21122,14.79192
59.17859,18.31589
58.29395,13.88814
59.84327,16.24148
65.52504,21.88878
59.63377,13.49402
61.89232,15.7321
56.78144,14.26022
57.76558,13.91837
60.46059,14.71001
65.59983,18.14727
62.54222,12.44689
57.68673,16.24159
65.9759,21.6104
56.64633,14.1858
62.64468,17.9694
59.33544,14.81006
60.15356,17.68768
59.94141,17.31062
59.83045,18.09034
65.71758,17.27581
59.94141,17.31062
60.2726,17.24103
58.0021,13.95252
61.7284,17.24769
63.20212,14.73458
63.28255,14.69901
62.73292,12.46186
60.15356,17.68768
64.98784,18.51291
60.50826,12.86338
58.79353,11.40782
57.53404,14.21741
61.53698,16.42755
51.904709,85.456973
55.977679,44.115999
52.53435,34.467392
51.783438,84.415552
59.404015,48.930063
50.934191,117.980431
56.71184,41.845505
55.582569,44.408963
59.469483,28.219809
54.808021,40.022694
57.039767,72.668824
63.623247,14.366226
57.827266,52.379167
63.788652,20.354412
57.848229,52.376339
55.510432,61.633687
55.938281,44.107999
61.928465,15.460212
56.443438,38.17406
55.214745,40.236168
44.853204,6.875172
55.102552,-2.348995
54.649509,32.050612
56.717245,37.737054
58.622554,49.993983
54.517662,83.003753
57.03577,30.335125
64.50736,24.27894
60.398857,27.066236
58.513963,50.113697
57.370469,30.970011
56.771612,38.708543
65.376233,12.552741
58.495424,35.164831
55.057097,61.867358
54.797604,85.25232
58.508087,37.281868
56.608134,58.004895
51.291872,29.385503
58.514862,50.106317
51.950275,85.68614
55.934715,44.264864
59.39414,48.926973
55.076713,77.845104
54.582559,82.954552
57.920165,56.272527
54.136584,81.043293
53.665945,84.01187
53.350833,81.493611
45.987133,6.489336
53.818289,81.005157
55.248332,82.807559
56.416108,46.832075
62.01729,21.297476
53.28072,27.599545
58.552588,50.184279
57.034793,40.341982
55.586209,82.73468
58.206201,52.724316
55.181282,84.23051
53.48377,86.143737
57.822148,55.840315
54.17606,37.105926
56.875003,35.657352
53.680546,84.162993
56.106804,36.198023
54.735411,37.653994
56.986475,39.858508
56.777603,42.002629
51.807663,83.344214
56.36147,61.403328
56.546657,61.799089
53.364725,33.64515
53.894864,81.190045
54.292802,80.922519
56.39602,61.699435
59.952376,21.447112
47.62612,12.487132
45.995594,11.026445
54.415502,56.537757
53.614861,84.243062
53.378338,85.859843
60.37857,23.57519
66.22613,28.493963
64.17002,26.99112
44.206192,6.683301
58.134822,52.720504
57.017798,-3.729793
45.729652,7.589146
62.808327,29.878813
55.576655,84.473425
52.009802,85.927731
